,Plantnummer:,Maximale groeihoogte (in CM):,Wintergroen?:,Bloeimaand:,Vochtigheid grond:,Positie in de tuin:,Bladkleur:,Bloemkleur:,Plantenfamilie:,Nederlandse naam:,Geslacht:,Plantdichtheid Aantal planten per m2:,Type,winterhard:,Wat voor soort grond past erbij?:,Bijvriendelijk:,Soort bodem:,Type tuin :,Snoeiperiode:,Giftig:,Groeiwijze klimplant:,Ondersteuning klimplant:,Haagplanten per strekkende meter:,pH waarde:,Stekels:,Planttijd:,Voeding / Bemesting:,Voeding periode:
390,YAR4045,100,Nee,"Juni, Juli, Augustus",Droog-vochthoudend,"Halfschaduw, Zon",Groen,"Blauw, Paars",Campanulaceae,Klokjesbloem,Campanula,5-7,Borderplanten,Ja,,Ja,,,,,,,,,,,,
391,YAR248,100,Nee,"Augustus, September",Vochthoudend,Schaduw,"Groen, Grijs",Roze,Polygonaceae,Klokjesduizendknoop,Persicaria,5-7,Borderplanten,,,,,,,,,,,,,,,
392,YAR1572,30,Nee,"Augustus, Juli, Juni",Vochthoudend-vochtig,Zon,Groen,"Paars, Blauw",Campanulaceae,Kluwenklokje,Campanula,8-11,Borderplanten,Ja,,,,,,,,,,,,,,
393,YAR1366,60,Nee,"Augustus, Juli, Juni",Vochthoudend,Halfschaduw,Groen,"Paars, Blauw",Campanulaceae,Kluwenklokje,Campanula,7-9,Borderplanten,,,Ja,,,,,,,,,,,,
394,YAR1696,50,Nee,"Juni, Juli",Vochthoudend,Halfschaduw,Groen,"Paars, Blauw",Campanulaceae,Kluwenklokje,Campanula,,Borderplanten,,,,,,,,,,,,,,,
395,YAR2064,70,Nee,"Juli, Augustus",Vochthoudend,Halfschaduw / zon,Groen,"Paars, Rood",Dipsacaceae,Knautia,Knautia,5-7,Borderplanten,,,,,,,,,,,,,,,
396,YAR2895,70,Nee,"Juli, Augustus",Vochthoudend,Halfschaduw / zon,Groen,Paars,Dipsacaceae,Knautia,Knautia,,Borderplanten,,,,,,,,,,,,,,,
397,YAR4084,60,Nee,"Juli, Augustus",Droog-vochthoudend,Zon,Groen,Oranje,Asclepiadaceae,Knolzijdeplant,Asclepias,5-7,Borderplanten,,,,,,,,,,,,,,,
398,YAR335,30,Ja,"September, Oktober, November",Droog-vochthoudend,Zon,Groen,Wit,Ericaceae,Knopbloeiende heide,Calluna,8-11,Borderplanten,,,,,,,,,,,,,,,
399,YAR1843,40,Ja,"September, Oktober, November",Droog-vochthoudend,Zon,Groen,Wit,Ericaceae,Knopbloeiende heide,Calluna,8-11,Borderplanten,,,,,,,,,,,,,,,
400,YAR3273,300,Ja,,Vochthoudend-vochtig,Lichte schaduw,Groen,,Cephalotaxaceae,Knoptaxus,Cephalotaxus,1,Tuin thema's en Meer,,Zwak zuur tot licht basisch,,,,,,,,1,,,,,
401,YAR246,350,Ja,,Vochthoudend-vochtig,Lichte schaduw,"Groen, Geel",,Cephalotaxaceae,Knoptaxus,Cephalotaxus,3-5,Tuin thema's en Meer,Ja,Zwak zuur tot licht basisch,,,Alle,Mei,Ja,,,3-5,6-8,,,,
402,YAR3725,120,Nee,"September, Augustus, Juli",Droog-vochthoudend,Zon,"Groen, Grijs",Wit,Asteraceae,Kogeldistel,Echinops,5-7,Borderplanten,,,,,,,,,,,,,,,
403,YAR4038,120,Nee,"Juli, Augustus, September",Droog-vochthoudend,Zon,"Groen, Grijs",Blauw,Asteraceae,Kogeldistel,Echinops,,Borderplanten,,,,,,,,,,,,,,,
404,YAR34,100,Nee,"September, Augustus, Juli",Droog-vochthoudend,Zon,"Groen, Grijs",Blauw,Asteraceae,Kogeldistel,Echinops,5-7,Borderplanten,,,,,,,,,,,,,,,
405,YAR1166,100,Nee,"September, Augustus, Juli",Droog-vochthoudend,Zon,"Groen, Grijs",Blauw,Asteraceae,Kogeldistel,Echinops,8,Borderplanten,,,,,,,,,,,,,,,
406,YAR4038,120,Nee,"Juli, Augustus, September",Droog-vochthoudend,Zon,"Groen, Grijs",Blauw,Asteraceae,Kogeldistel,Echinops,,Borderplanten,,,,,,,,,,,,,,,
407,YAR36,80,Nee,"September, Augustus, Juli",Droog-vochthoudend,Zon,"Groen, Grijs",Blauw,Asteraceae,Kogeldistel,Echinops,7-9,Borderplanten,,,,,,,,,,,,,,,
408,YAR1166,100,Nee,"September, Augustus, Juli",Droog-vochthoudend,Zon,"Groen, Grijs",Blauw,Asteraceae,Kogeldistel,Echinops,8,Borderplanten,,,,,,,,,,,,,,,
409,YAR1633,25,Nee,"Maart, April",Vochthoudend,Halfschaduw,Groen,"Paars, Blauw",Primulaceae,Kogelprimula,Primula,11-15,Borderplanten,,,,,,,,,,,,,,,
410,YAR3182,125,Nee,"Juli, Augustus, September",Droog-vochthoudend,Zon,Groen,Roze,Asteraceae,Koninginnenkruid,Eupatorium,5-7,Borderplanten,,,,,,,,,,,,,,,
411,YAR1915,125,Nee,"Juli, Augustus, September",Droog-vochthoudend,Zon,Groen,Roze,Asteraceae,Koninginnenkruid,Eupatorium,5-7,Borderplanten,,,,,,,,,,,,,,,
412,YAR3568,90,Nee,"Juni, Juli",Droog,Zon,Grijs,"Roze, Paars",Asteraceae,"Centaurie, Korenbloem",Centaurea,5-7,Borderplanten,,,,,,,,,,,,,,,
413,YAR348,30,Nee,"Juni, Augustus, Juli",Vochthoudend,Schaduw,Groen,Paars,Asteraceae,"Centaurie, Korenbloem",Centaurea,9-11,Borderplanten,,,,,,,,,,,,,,,
414,YAR3262,70,Nee,"Juli, Augustus",Vochthoudend,"Halfschaduw, Zon",Groen,Roze,Asteraceae,"Centaurie, Korenbloem",Centaurea,7-9,Borderplanten,,,,,,,,,,,,,,,
415,YAR517,70,Nee,"Juni, Juli, Augustus",Vochthoudend,Halfschaduw,Groen,Roze,Asteraceae,"Centaurie, Korenbloem",Centaurea,7-9,Borderplanten,,,,,,,,,,,,,,,
416,YAR996,80,Nee,"Augustus, Juli, Juni",Droog-vochthoudend,Zon,"Groen, Grijs",Geel,Asteraceae,"Centaurie, Korenbloem",Centaurea,5-7,Borderplanten,,,,,,,,,,,,,,,
417,YAR950,60,Nee,"Augustus, Juli, Juni",Droog-vochthoudend,Zon,"Groen, Grijs","Roze, Paars",Asteraceae,"Centaurie, Korenbloem",Centaurea,7-9,Borderplanten,,,,,,,,,,,,,,,
418,YAR1509,120,Nee,"Juli, Augustus",Droog-vochthoudend,Zon,"Groen, Grijs",Geel,Asteraceae,"Centaurie, Korenbloem",Centaurea,5-7,Borderplanten,,,,,,,,,,,,,,,
419,YAR1619,50,Nee,"Juni, Juli",Vochthoudend,Halfschaduw,Grijs,Blauw,Asteraceae,"Bergcentaurie, Korenbloem",Centaurea,7-9,Borderplanten,,,,,,,,,,,,,,,
420,YAR1270,50,Nee,"Juni, Juli",Vochthoudend,Halfschaduw,Grijs,Wit,Asteraceae,"Bergcentaurie, Korenbloem",Centaurea,7-9,Borderplanten,,,,,,,,,,,,,,,
421,YAR2658,50,Nee,"Juni, Juli",Vochthoudend,Halfschaduw,Grijs,Roze,Asteraceae,"Bergcentaurie, Korenbloem",Centaurea,7-9,Borderplanten,,,,,,,,,,,,,,,
422,YAR1378,50,Nee,"Juni, Juli",Vochthoudend,Halfschaduw,Grijs,Blauw,Asteraceae,"Bergcentaurie, Korenbloem",Centaurea,7-9,Borderplanten,,,,,,,,,,,,,,,
423,YAR2476,50,Nee,"Juni, Juli",Vochthoudend,Halfschaduw,Grijs,Paars,Asteraceae,"Bergcentaurie, Korenbloem",Centaurea,7-9,Borderplanten,,,,,,,,,,,,,,,
424,YAR600,30,Nee,"Mei, Juni",Droog-vochthoudend,Zon,Grijs,Roze,Asteraceae,"Centaurie, Korenbloem",Centaurea,11-15,Borderplanten,,,,,,,,,,,,,,,
425,YAR1868,80,Nee,"Augustus, Juli, Juni",Droog-vochthoudend,Zon,Groen,"Roze, Paars",Asteraceae,"Grote centaurie, Korenbloem",Centaurea,5-7,Borderplanten,,,,,,,,,,,,,,,
426,YAR690,70,Nee,"September, Augustus, Juli",Droog-vochthoudend,Zon,"Groen, Grijs",Paars,Lamiaceae,Kranssalie,Salvia,,Borderplanten,,,,,,,,,,,,,,,
427,YAR3751,15,Ja,"April, Mei",Vochthoudend,Schaduw,Groen,"Blauw, Paars",Lamiaceae,Kruipend zenegroen,Ajuga,8-11,Borderplanten,,,,,,,,,,,,,,,
428,YAR2979,15,Ja,"April, Mei",Vochthoudend,Schaduw,Groen,Wit,Lamiaceae,Kruipend zenegroen,Ajuga,8-11,Borderplanten,,,,,,,,,,,,,,,
429,YAR1670,15,Ja,"April, Mei",Vochthoudend,"Schaduw, Halfschaduw, Zon",Bruin,Blauw,Lamiaceae,Kruipend zenegroen,Ajuga,8,Bodembedekkers,,,,,,,,,,,,,,,
430,YAR3495,15,Ja,"April, Mei",Vochthoudend,Schaduw,Bruin,Blauw,Lamiaceae,Kruipend zenegroen,Ajuga,8-11,Borderplanten,,,,,,,,,,,,,,,
431,YAR441,15,Ja,"Mei, April",Vochthoudend,Schaduw,"Wit, Roze, Bruin",Blauw,Lamiaceae,Kruipend zenegroen,Ajuga,8-11,Borderplanten,,,,,,,,,,,,,,,
432,YAR2149,25,Ja,"April, Mei",Vochthoudend,Schaduw,"Groen, Bruin",Blauw,Lamiaceae,Kruipend zenegroen,Ajuga,8-11,Borderplanten,,,,,,,,,,,,,,,
433,YAR2414,15,Ja,"Mei, April",Vochthoudend,Schaduw,"Wit, Roze, Bruin",Blauw,Lamiaceae,Kruipend zenegroen,Ajuga,8-11,Borderplanten,,,,,,,,,,,,,,,
434,YAR3240,15,Ja,"April, Mei",Vochthoudend,Schaduw,"Roze, Bruin",Blauw,Lamiaceae,Kruipend zenegroen,Ajuga,8-11,Borderplanten,,,,,,,,,,,,,,,
435,YAR2178,15,Ja,"April, Mei",Vochthoudend,Schaduw,"Groen, Bruin",Roze,Lamiaceae,Kruipend zenegroen,Ajuga,8-11,Borderplanten,,,,,,,,,,,,,,,
436,YAR147,15,Ja,"April, Mei",Vochthoudend,Schaduw,"Groen, Bruin",Roze,Lamiaceae,Kruipend zenegroen,Ajuga,8-11,Borderplanten,,,,,,,,,,,,,,,
437,YAR2039,15,Ja,"April, Mei",Vochthoudend,Schaduw,Bruin,"Blauw, Paars",Lamiaceae,Kruipend zenegroen,Ajuga,8-11,Borderplanten,,,,,,,,,,,,,,,
438,YAR3048,15,Ja,"April, Mei",Vochthoudend,Schaduw,Groen,Roze,Lamiaceae,Kruipend zenegroen,Ajuga,8-11,Borderplanten,,,,,,,,,,,,,,,
439,YAR2060,15,Ja,"April, Mei",Vochthoudend,Schaduw,Groen,Wit,Lamiaceae,Kruipend zenegroen,Ajuga,8-11,Borderplanten,,,,,,,,,,,,,,,
440,YAR204,15,Ja,"April, Mei",Vochthoudend,Schaduw,Wit,Blauw,Lamiaceae,Kruipend zenegroen,Ajuga,8-11,Borderplanten,,,,,,,,,,,,,,,
441,YAR2719,10,Ja,"Mei, Juni",Droog-vochthoudend,"Halfschaduw, Schaduw","Groen, Grijs, Rood",Wit,Rosaceae,Kruipende braam,Rubus,,Tuin thema's en Meer,,Zuur tot neutraal,,,,,,,,,,,,,
442,YAR4109,5,Ja,"Juni, Juli",Droog-vochthoudend,Zon,Groen,Wit,Lamiaceae,Kruiptijm,Thymus,8,Bodembedekkers,,,,,,,,,,,,,,,
443,YAR1055,5,Ja,"Juni, Juli",Droog-vochthoudend,Zon,"Groen, Grijs",Paars,Lamiaceae,Kruiptijm,Thymus,8-11,Borderplanten,,,,,,,,,,,,,,,
444,YAR1485,5,Ja,"Juni, Juli",Droog-vochthoudend,Zon,Groen,"Roze, Paars",Lamiaceae,Kruiptijm,Thymus,8-11,Borderplanten,,,,,,,,,,,,,,,
445,YAR1458,5,Ja,"Juni, Juli",Droog-vochthoudend,Zon,Groen,"Roze, Paars",Lamiaceae,Kruiptijm,Thymus,8,Bodembedekkers,,,,,,,,,,,,,,,
446,YAR1473,5,Ja,"Juni, Juli",Droog-vochthoudend,Zon,Groen,Roze,Lamiaceae,Kruiptijm,Thymus,8-11,Borderplanten,Ja,,,,,,,,,,,,,,
447,YAR1901,175,Nee,"Juli, Augustus",Vochthoudend-vochtig,Lichte schaduw / zon,Groen,Geel,Asteraceae,Kruiskruid,Ligularia,3-5,Borderplanten,,,Ja,,,,,,,,,,,,
448,YAR1795,200,Nee,"Juli, Augustus",Vochthoudend-vochtig,Lichte schaduw / zon,Groen,Geel,Asteraceae,Kruiskruid,Ligularia,3-5,Borderplanten,,,Ja,,,,,,,,,,,,
449,YAR3018,100,Nee,"Juli, Augustus",Vochthoudend-vochtig,"Halfschaduw, Zon, Schaduw",Groen,"Geel, Oranje",Asteraceae,Kruiskruid,Ligularia,5-7,Borderplanten,,,Ja,,,,,,,,,,,,
450,YAR2405,100,Nee,"Augustus, Juli",Vochthoudend-vochtig,Lichte schaduw / zon,"Bruin, Rood","Geel, Oranje",Asteraceae,Kruiskruid,Ligularia,5-7,Borderplanten,,,Ja,,,,,,,,,,,,
451,YAR1221,100,Nee,"Augustus, Juli",Vochthoudend-vochtig,Lichte schaduw / zon,"Bruin, Rood","Geel, Oranje",Asteraceae,Kruiskruid,Ligularia,5-7,Borderplanten,,,Ja,,,,,,,,,,,,
452,YAR1066,180,Nee,"Juli, Augustus",Vochthoudend-vochtig,Lichte schaduw / zon,Groen,Geel,Asteraceae,Ligularia,Ligularia,3-5,Borderplanten,,,,,,,,,,,,,,,
453,YAR952,150,Nee,"Juli, Augustus",Vochthoudend-vochtig,Lichte schaduw / zon,Groen,"Geel, Oranje",Asteraceae,"Ligularia, Kruiskruid",Ligularia,3-5,Borderplanten,,,,,,,,,,,,,,,
454,YAR1183,120,Nee,"Juni, Juli",Vochthoudend-vochtig,Lichte schaduw / zon,Groen,"Geel, Oranje",Asteraceae,"Ligularia, Kruiskruid",Ligularia,3-5,Borderplanten,,,Ja,,,,,,,,,,,,
455,YAR267,200,Nee,"Augustus, September",Vochthoudend-vochtig,"Halfschaduw, Zon",Groen,Geel,Asteraceae,Late guldenroede,Solidago,,Borderplanten,,,,,,,,,,,,,,,
456,YAR3894,,Ja,,Droog-vochthoudend,"Schaduw, Halfschaduw, Zon",groen,Wit,,Laurierkers,Prunus,,Haagplanten,Tot -15 graden Celsius,,,,,,,,,,,,,,
457,YAR3895,600,Ja,"Mei, Juni",Droog-vochthoudend,"Halfschaduw, Schaduw, Zon",Groen,Wit,Rosaceae,Laurierkers,Prunus,,Haagplanten,Ja,,Ja,,,,Besjes,,,,,,,,
458,YAR4079,300,Ja,"Mei, Juni",,"Schaduw, Halfschaduw / zon",Groen,,Rosaceae,Laurierkers,Prunus,,Haagplanten,Tot -15 graden Celsius,,,,,,,,,,6-8,,,,
459,YAR26896,150,Ja,"April, Mei",Droog-vochthoudend,"Zon, Halfschaduw, Schaduw","Groen, Rood",Wit,Rosaceae,Laurierkers,Prunus,,Haagplanten,Tot -20 graden Celsius,,,,,,,,,3-5,,,,,
460,YAR328,300,Ja,"April, Mei",Vochthoudend,Lichte schaduw,Groen,Wit,Rosaceae,Laurierkers,Prunus,3-4,Haagplanten,,Zwak zuur tot licht basisch,,,Alle,"Maart, September",,,,3-4,6-8,,,,
461,YAR26906,200-400,Ja,"April, Mei",Droog-vochthoudend,"Zon, Halfschaduw, Schaduw",Groen,Wit,Rosaceae,Laurierkers,Prunus,,Haagplanten,Tot -25 graden Celsius,Neutraal,Ja,,,,Bessen,,,2-4,,,,,
462,YAR26916,300,Ja,"April, Mei",Droog-vochthoudend,"Zon, Halfschaduw, Schaduw","Groen, Rood",Wit,Rosaceae,Laurierkers,Prunus,,Haagplanten,Tot -25 graden Celsius,,Ja,,,,Besjes,,,2-4,,,,,
463,YAR26931,350-400,Ja,"Mei, Juni",Droog-vochthoudend,"Zon, Halfschaduw, Schaduw",Groen,Wit,Rosaceae,Laurierkers,Prunus,,Haagplanten,Tot -25 graden Celsius,,,,,,,,,2-4,,,,,
464,YAR3893,300,Ja,"Mei, Juni",Droog-vochthoudend,"Schaduw, Halfschaduw, Zon",Groen,Wit,Rosaceae,Laurierkers,Prunus,,Haagplanten,Tot -15 graden Celsius,,,,,,,,,2-4,6-8,,,,
465,YAR409,100,Ja,"Mei, Juni",Vochthoudend,Halfschaduw / zon,Groen,Wit,Rosaceae,Laurierkers,Prunus,3-4,Haagplanten,,Zwak zuur tot licht basisch,,,,"Maart, Augustus",,,,3-4,,,,,
466,YAR4044,90,Ja,"Juni, Juli",Droog,Zon,Grijs,"Paars, Blauw",Lamiaceae,Lavendel,Lavandula,5-7,Borderplanten,,,,,,,,,,,,,,,
467,YAR4066,60,Ja,"Juni, Juli",Droog,Zon,Grijs,Wit,Lamiaceae,Gewone lavendel,Lavandula,5-7,Borderplanten,,,,,,,,,,,,,,,
468,YAR1772,20,Nee,"Mei, Juni",Droog,Schaduw,Groen,Roze,Liliaceae,Lelietje-van-dalen,Convallaria,,Tuin thema's en Meer,,,,,,,,,,,,,,,
469,YAR3652,350,Nee,"April, Mei",Vochthoudend-vochtig,"Zon, Halfschaduw",Groen,Paars,Magnoliaceae,Leliemagnolia,Magnolia,,Tuin thema's en Meer,,Zuur tot neutraal,,,,,,,,,,,,,
470,YAR77,20,Nee,"Mei, Juni",Droog,Schaduw,Groen,Wit,Liliaceae,Lelietje-van-dalen,Convallaria,,Tuin thema's en Meer,,,,,,,,,,,,,,,
471,YAR2263,15,Nee,"Mei, Juni",Vochthoudend,Schaduw,Groen,Wit,Rubiaceae,Lievevrouwebedstro,Galium,,Bodembedekkers,,,,,,,,,,,,,,,
472,YAR1918,400,Ja,Juli,Droog-vochthoudend,Lichte schaduw,Groen,Wit,Oleaceae,Haagliguster,Ligustrum,,Haagplanten,,Zwak zuur tot licht basisch,,,,,,,,3-4,,,,,
473,YAR3896,500,Ja,,,"schaduw, Halfschaduw, Zon",Groen,Wit,,Gewone liguster,Ligustrum,,Haagplanten,Ja,,,,,,Besjes,,,,6-8,,,,
474,YAR3159,200,Nee,"Juli, Augustus",Vochthoudend-vochtig,Halfschaduw / zon,Groen,Wit,Rosaceae,Lijsterbesspirea,Sorbaria,1,Tuin thema's en Meer,,Neutraal tot basisch,,,,,,,,,,,,,
475,YAR603,30,Nee,"Juni, Juli, Augustus",Droog-vochthoudend,Zon,Groen,Geel,Linaceae,Geel vlas,Linum,,Borderplanten,,,,,,,,,,,,,,,
476,YAR2292,50,Ja,"Augustus, Juli, Juni",Droog-vochthoudend,Zon,"Blauw, Grijs",Blauw,Linaceae,Overblijvend vlas,Linum,,Borderplanten,,,,,,,,,,,,,,,
477,YAR386,45,Ja,"Augustus, Juli, Juni",Droog-vochthoudend,Zon,"Blauw, Grijs",Blauw,Linaceae,Overblijvend vlas,Linum,,Borderplanten,,,,,,,,,,,,,,,
478,YAR1718,80,Nee,"Augustus, September",Droog-vochthoudend,Zon,"Bruin, Rood",Rood,Campanulaceae,Lobelia,Lobelia,8-11,Borderplanten,,,,,,,,,,,,,,,
479,YAR2023,20,Nee,"Maart, April",Vochthoudend,"Schaduw, Halfschaduw",Groen,"Blauw, Paars",Boraginaceae,Longkruid,Pulmonaria,,Borderplanten,,,,,,,,,,,,,,,
480,YAR403,25,Nee,"Maart, April",Vochthoudend,"Schaduw, Halfschaduw","Zilvergrijs, Groen",Blauw,Boraginaceae,Longkruid,Pulmonaria,,Borderplanten,,,,,,,,,,,,,,,
481,YAR285,25,Nee,"Maart, April",Vochthoudend,"Schaduw, Halfschaduw","Groen, Zilvergrijs",Blauw,Boraginaceae,Longkruid,Pulmonaria,,Borderplanten,,,,,,,,,,,,,,,
482,YAR2789,30,Nee,"Maart, April",Vochthoudend,"Halfschaduw, Zon","Groen, Zilvergrijs",Wit,Boraginaceae,Longkruid,Pulmonaria,,Borderplanten,,,,,,,,,,,,,,,
483,YAR1481,35,Nee,"Maart, April",Vochthoudend,"Schaduw, Halfschaduw",Groen,Rood,Boraginaceae,Longkruid,Pulmonaria,,Borderplanten,,,,,,,,,,,,,,,
484,YAR2558,30,Nee,"Maart, April",Vochthoudend,"Schaduw, Halfschaduw","Wit, Groen","Rood, Paars, Roze",Boraginaceae,Longkruid,Pulmonaria,,Borderplanten,,,,,,,,,,,,,,,
485,YAR107,30,Nee,"Maart, April",Vochthoudend,"Schaduw, Halfschaduw","Wit, Groen","Paars, Roze, Rood",Boraginaceae,Longkruid,Pulmonaria,8-11,Borderplanten,,,Ja,,,,,,,,,,,,
486,YAR1812,90,Ja,"Mei, Juni",Vochthoudend,Schaduw,Groen,Paars,Brassicaceae,Tuinjudaspenning,Lunaria,,Borderplanten,,,,,,,,,,,,,,,
487,YAR3296,100,Nee,"Juni, Juli, Augustus",Vochthoudend,Zon,Groen,Geel,Fabaceae,Lupine,Lupinus,5-7,Borderplanten,,,,,,,,,,,,,,,
488,YAR219,100,Nee,"Juni, Juli, Augustus",Vochthoudend,Zon,Groen,Rood,Fabaceae,Lupine,Lupinus,,Borderplanten,,,,,,,,,,,,,,,
489,YAR2986,100,Nee,"Augustus, Juli, Juni",Vochthoudend,Zon,Groen,"Wit, Blauw",Fabaceae,Lupine,Lupinus,5-7,Borderplanten,,,,,,,,,,,,,,,
490,YAR3211,90,Nee,"Juni, Juli, Augustus",Vochthoudend,Zon,Groen,Paars,Fabaceae,Lupine,Lupinus,5-7,Borderplanten,,,,,,,,,,,,,,,
491,YAR2911,100,Nee,"Juni, Juli, Augustus",Vochthoudend,Zon,Groen,Wit,Fabaceae,Lupine,Lupinus,5-7,Borderplanten,,,,,,,,,,,,,,,
492,YAR1702,100,Nee,"Augustus, Juli, Juni",Vochthoudend,Zon,Groen,"Wit, Roze",Fabaceae,Lupine,Lupinus,5-7,Borderplanten,,,,,,,,,,,,,,,
493,YAR3029,10,Ja,"Maart, April",Vochthoudend,Schaduw,Groen,Blauw,Violaceae,Maarts viooltje,Viola,8-11,Borderplanten,,,,,,,,,,,,,,,
494,YAR3552,80,Ja,"Juni, Juli",Droog-vochthoudend,Zon,Groen,Wit,Asteraceae,Margriet,Leucanthemum,,Borderplanten,,,,,,,,,,,,,,,
495,YAR181,50,Ja,"Juni, Juli",Droog-vochthoudend,Zon,Groen,Wit,Asteraceae,Margriet,Leucanthemum,,Borderplanten,,,,,,,,,,,,,,,
496,YAR4068,150,Ja,"November, December, Januari, Februari",Vochthoudend-vochtig,"Halfschaduw, Schaduw",Groen,Geel,Berberidaceae,Mahonie,Mahonia,,Tuin thema's en Meer,,,,,,,,,,,,,,,
497,YAR31,80,Nee,,Vochthoudend,Halfschaduw,Groen,,Aspidiaceae,Mannetjesvaren,Dryopteris,3-5,Borderplanten,,,,,,,,,,,,,,,
498,YAR254,70,Ja,"Juni, Juli",Droog-vochthoudend,Zon,Groen,Wit,Asteraceae,Margriet,Leucanthemum,5-7,Tuin thema's en Meer,,,,,,,,,,,,,,,
499,YAR2716,30,Ja,"Juni, Juli",Vochthoudend-vochtig,Zon,Groen,Wit,Asteraceae,Margriet,Leucanthemum,5-7,Borderplanten,,,,,,,,,,,,,,,
500,YAR558,80,Ja,"Juni, Juli",Droog-vochthoudend,Zon,Groen,Wit,Asteraceae,Margriet,Leucanthemum,,Borderplanten,,,,,,,,,,,,,,,
501,YAR242,50,Ja,"Juni, Juli",Droog-vochthoudend,Zon,Groen,Wit,Asteraceae,Margriet,Leucanthemum,,Borderplanten,,,,,,,,,,,,,,,
502,YAR803,80,Ja,"Juni, Juli",Droog-vochthoudend,Zon,Groen,Geel,Asteraceae,Margriet,Leucanthemum,,Borderplanten,,,,,,,,,,,,,,,
503,YAR2768,70,Ja,"Juni, Juli",Droog-vochthoudend,Zon,Groen,Wit,Asteraceae,Margriet,Leucanthemum,,Borderplanten,,,,,,,,,,,,,,,
504,YAR3454,30,Nee,"Juli, Augustus, September",Vochthoudend-vochtig,Zon,Grijs,Roze,Lamiaceae,Marjolein,Origanum,8-11,Borderplanten,,Neutraal tot basisch,,,,,,,,,,,,,
505,YAR3051,50,Nee,"Juli, Augustus, September",Droog-vochthoudend,Zon,Groen,Roze,Lamiaceae,Marjolein,Origanum,,Borderplanten,,,,,,,,,,,,,,,
506,YAR607,50,Nee,"September, Augustus, Juli",Droog-vochthoudend,Zon,Groen,"Roze, Paars",Lamiaceae,Marjolein,Origanum,,Borderplanten,,,,,,,,,,,,,,,
507,YAR1293,50,Nee,"Juli, Augustus, September",Droog-vochthoudend,Zon,Groen,Paars,Lamiaceae,Marjolein,Origanum,,Borderplanten,,,,,,,,,,,,,,,
508,YAR796,30,Nee,"September, Augustus, Juli",Vochthoudend-vochtig,Zon,Grijs,"Roze, Paars",Lamiaceae,Marjolein,Origanum,,Borderplanten,,Neutraal tot basisch,,,,,,,,,,,,,
509,YAR2089,1000,Nee,"April, Mei",Vochthoudend-vochtig,Lichte schaduw / zon,Groen,"Roze, Rood",Rosaceae,Tweestijlige meidoorn,Crataegus,,Bomen,,Zwak zuur tot licht basisch,,,,,,,,,,,,,
510,YAR674,800,Nee,Mei,Droog-vochthoudend,"Halfschaduw, Zon",Groen,Wit,Rosaceae,Eenstijlige meidoorn,Crataegus,,Bomen,,Neutraal tot basisch,,,,,,,,,,,,,
511,YAR64,500,Nee,Mei,Droog-vochthoudend,Lichte schaduw / zon,Groen,Wit,Rosaceae,Meidoorn,Crataegus,,Bomen,,Neutraal tot basisch,,,,,,,,,,,,,
512,YAR2010,800,Nee,"Mei, Juni",Droog-vochthoudend,Lichte schaduw / zon,Groen,Wit,Rosaceae,Meidoorn,Crataegus,,Bomen,,Neutraal tot basisch,,,,,,,,,,,,,
513,YAR1211,150,Ja,"Juli, Augustus, September",Vochthoudend,Schaduw,Groen,Geel,Oenotheraceae,Middelste teunisbloem,Oenothera,,Borderplanten,,,,,,,,,,,,,,,
514,YAR2011,70,Nee,"September, Oktober",Droog-vochthoudend,Zon,Groen,Wit,Asteraceae,Moederkruid,Tanacetum,,Borderplanten,,,,,,,,,,,,,,,
515,YAR2956,70,Nee,"September, Oktober",Droog-vochthoudend,Zon,Groen,Wit,Asteraceae,Moederkruid,Tanacetum,,Borderplanten,,,,,,,,,,,,,,,
516,YAR27737,2500,Nee,,,,,,,,,,Bomen,Ja,,,,,,,,,,,,,,
517,YAR3846,120,Ja,"Juni, Juli",Vochthoudend-vochtig,,Groen,Wit,Rosaceae,,Filipendula,,Tuinstijlen,,,,,,,,,,,,,,,
518,YAR2634,80,Nee,"Augustus, September",Droog-vochthoudend,Zon,Groen,Oranje,Iridaceae,Montbretia,Crocosmia,,Borderplanten,,,,,,,,,,,,,,,
519,YAR237,100,Ja,"Juni, Juli, Augustus",Droog,Zon,Groen,Geel,Scrophulariacea,Mottenkruid,Verbascum,,Borderplanten,,,,,,,,,,,,,,,
520,YAR2843,100,Ja,"Augustus, Juli, Juni",Droog,Zon,Groen,"Wit, Roze",Scrophulariacea,Mottenkruid,Verbascum,,Borderplanten,,,,,,,,,,,,,,,
521,YAR1835,100,Ja,"Juni, Juli",Droog-vochthoudend,Zon,Grijs,"Wit, Paars",Lamiaceae,Scharlei,Salvia,7-9,Borderplanten,,,,,,,,,,,,,,,
522,YAR157,40,Nee,"Mei, Juni, Juli, Augustus",Droog-vochthoudend,Zon,Groen,"Wit, Roze",Asteraceae,Muurfijnstraal,Erigeron,9-11,Borderplanten,Ja,,Ja,,,,,,,,,,,,
523,YAR4043,50,Ja,"Mei, Juni, Juli",Vochthoudend,Zon,Groen,Geel,Rosaceae,Nagelkruid,Geum,,Borderplanten,,,,,,,,,,,,,,,
524,YAR4057,40,Ja,"Augustus, Juli, Juni, Mei",Droog-vochthoudend,Zon,Groen,"Rood, Oranje",Rosaceae,Nagelkruid,Geum,,Borderplanten,,,,,,,,,,,,,,,
