,Plantnummer:,Maximale groeihoogte (in CM):,Wintergroen?:,Bloeimaand:,Vochtigheid grond:,Positie in de tuin:,Bladkleur:,Bloemkleur:,Plantenfamilie:,Nederlandse naam:,Geslacht:,Plantdichtheid Aantal planten per m2:,Type,winterhard:,Wat voor soort grond past erbij?:,Bijvriendelijk:,Soort bodem:,Type tuin :,Snoeiperiode:,Giftig:,Groeiwijze klimplant:,Ondersteuning klimplant:,Haagplanten per strekkende meter:,pH waarde:,Stekels:,Planttijd:,Voeding / Bemesting:,Voeding periode:,Maintenance,Maintenance description
730,YAR55,20,Nee,"Juli, Augustus",Vochthoudend,Halfschaduw,Groen,Roze,Rosaceae,"Spirea, Spierstruik",Astilbe,8-11,Borderplanten,,,,,,,,,,,,,,,,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.
731,YAR159,150,Nee,"Juli, Augustus",Vochthoudend,Schaduw,Groen,Wit,Saxifragaceae,Spirea,Astilbe,,Borderplanten,,,,,,,,,,,,,,,,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.
732,YAR3927,"250, 300",Nee,,Vochthoudend,,"Rood, Groen",Geel,Stachyuraceae,Staartaar,Stachyurus praecox,1-3,Tuin thema's en Meer,Redelijk,Humusrijke grond,Ja,,Alle,,,,,,,Nee,,,,Gemiddeld,De plant hoeft niet echt gesnoeid te worden. Om de plant in model te houden kan men in het voorjaar en/of in de zomer de lange scheuten inkorten om de vorm van de plant te behouden.
733,YAR1847,150,Nee,"Augustus, Juli, Juni",Droog-vochthoudend,Zon,"Groen, Grijs",Geel,Scrophulariacea,Stalkaars,Verbascum,,Borderplanten,,,,,,,,,,,,,,,,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.
734,YAR23184,7000,Ja,"Mei, April",,,Groen,Geel,Quercus,Eik,,,Bomen,Ja,"klei, zand",,,Modern,,,,,,,Geen,,,,Gemiddeld,De boom hoeft niet echt gesnoeid te worden. Om de boom in model te houden kan men in het voorjaar en/of in de zomer de lange scheuten inkorten om de vorm van de boom te behouden.
735,YAR43,60,Ja,"September, Augustus, Juli, Juni, Mei",Droog-vochthoudend,Zon,"Groen, Grijs",Paars,Brassicaceae,"Steenraket, Muurbloem",Erysimum,7-9,Borderplanten,Ja,,,,,,,,,,,,,,,Geen,De plant heeft geen bijzondere zorg nodig.
736,YAR4065,15,Ja,"Juli, Juni, Mei",Droog-vochthoudend,Zon,Groen,Blauw,Boraginaceae,Steenzaad,Lithodora,8-11,Borderplanten,,Zwak zuur tot neutraal,,Zuurminnend,,,,,,,,,,,,Laag,"De plant is groenblijvend, snoei is niet nodig. Hooguit kan af en toe het oude, lelijk geworden blad weggeknipt worden."
737,YAR3375,10,Ja,"Augustus, Juli, Juni, Mei",Vochthoudend-vochtig,Zon,Groen,Blauw,Boraginaceae,Steenzaad,Lithodora,8-11,Borderplanten,Ja,Zwak zuur tot neutraal,Ja,Zuurminnend,"Rots, Rotstuin",,,,,,,,,,,Laag,"De plant is groenblijvend, snoei is niet nodig. Hooguit kan af en toe het oude, lelijk geworden blad weggeknipt worden."
738,YAR2572,10,Ja,"Augustus, Juli, Juni, Mei",Vochthoudend-vochtig,Zon,Groen,"Blauw, Paars",Boraginaceae,Steenzaad,Lithodora,8-11,Borderplanten,Ja,Zwak zuur tot neutraal,Ja,"Zuu, Zuurminnend",,,,,,,,,,,,Laag,"De plant is groenblijvend, snoei is niet nodig. Hooguit kan af en toe het oude, lelijk geworden blad weggeknipt worden."
739,YAR1318,15,Ja,"Maart, April",Vochthoudend,Schaduw,Groen,Paars,Primulaceae,Stengelloze sleutelbloem,Primula,11-15,Borderplanten,Ja,,Ja,,Alle,,,,,,,,,,,Geen,De plant heeft geen bijzondere zorg nodig.
740,YAR2085,200,Nee,"Maart, April",Vochthoudend-vochtig,"Halfschaduw, Zon",Groen,Wit,Magnoliaceae,Stermagnolia,Magnolia,,Heesters en Struiken,,Zwak zuur tot licht basisch,,,,,,,,,,,,,,Geen,De plant heeft geen bijzondere zorg nodig.
741,YAR2170,25,Ja,"Augustus, September",Droog-vochthoudend,Zon,"Groen, Grijs",Paars,Ericaceae,Struikhei,Calluna,8-11,Borderplanten,,,,,,,,,,,,,,,,Laag,Alle uitgebloeide takken terugknippen. Hierdoor blijft de plant compact en verhout niet te sterk aan de onderzijde.
742,YAR3784,35,Ja,"Augustus, September",Droog-vochthoudend,Zon,"Groen, Wit",Wit,Ericaceae,Struikhei,Calluna,8-11,Borderplanten,,,,,,,,,,,,,,,,Laag,Alle uitgebloeide takken terugknippen. Hierdoor blijft de plant compact en verhout niet te sterk aan de onderzijde.
743,YAR1917,30,Ja,"Mei, Juni",Droog-vochthoudend,Lichte schaduw,"Groen, Grijs",Roze,Scrophulariaceae,Struikveronica,Hebe,3-5,Tuin thema's en Meer,,Zuur tot neutraal,,,,,,,,,4.5-7,,,,,Gemiddeld,De plant hoeft niet echt gesnoeid te worden. Om de plant in model te houden kan men in het voorjaar en/of in de zomer de lange scheuten inkorten om de vorm van de plant te behouden.
744,YAR1246,150,Nee,"Augustus, Juli",Droog,Zon,"Groen, Grijs","Wit, Geel",Asteraceae,Tandzaad,Bidens,,Planten op standplaats,,,,,,,,,,,,,,,,Geen,Snoei is niet nodig bij deze plant.
745,YAR3861,100,Ja,,Vochthoudend-vochtig,,Groen,,Taxaceae,"Venusschoentje, Venijnboom",Coniferen,,Tuin thema's en Meer,,,,,,,,,,,,,,,,Gemiddeld,De plant hoeft niet echt gesnoeid te worden. Om de plant in model te houden kan men in het voorjaar en/of in de zomer de lange scheuten inkorten om de vorm van de plant te behouden.
746,YAR1345,200,Ja,,Vochthoudend-vochtig,Halfschaduw / zon,Groen,,Taxaceae,Taxus,Taxus,1-3,Tuin thema's en Meer,Ja,Neutraal tot basisch,,,Alle,Mei,Ja,,,1-3,7-9,,,,,Gemiddeld,De plant hoeft niet echt gesnoeid te worden. Om de plant in model te houden kan men in het voorjaar en/of in de zomer de lange scheuten inkorten om de vorm van de plant te behouden.
747,YAR1667,200,Ja,,Vochthoudend-vochtig,Lichte / halfschaduw,Geel,,Taxaceae,Taxus,Taxus,1-3,Tuin thema's en Meer,Ja,Zwak zuur tot licht basisch,,,Alle,Mei,Ja,,,1-3,7-9,,,,,Gemiddeld,De plant hoeft niet echt gesnoeid te worden. Om de plant in model te houden kan men in het voorjaar en/of in de zomer de lange scheuten inkorten om de vorm van de plant te behouden.
748,YAR1004,400,Ja,,Vochthoudend-vochtig,Halfschaduw / zon,Geel,,Taxaceae,Taxus,Taxus,1-3,Tuin thema's en Meer,Ja,Neutraal tot basisch,,,Alle,Maart,Ja,,,1-3,7-9,,,,,Gemiddeld,De plant hoeft niet echt gesnoeid te worden. Om de plant in model te houden kan men in het voorjaar en/of in de zomer de lange scheuten inkorten om de vorm van de plant te behouden.
749,YAR1734,250,Ja,,Vochthoudend-vochtig,Lichte / halfschaduw,Geel,,Taxaceae,Taxus,Taxus,1-3,Tuin thema's en Meer,Ja,Zwak zuur tot licht basisch,,,Alle,Mei,Ja,,,1-3,5.5-8,,,,,Gemiddeld,De plant hoeft niet echt gesnoeid te worden. Om de plant in model te houden kan men in het voorjaar en/of in de zomer de lange scheuten inkorten om de vorm van de plant te behouden.
750,YAR2189,250,Ja,,Vochthoudend-vochtig,Lichte schaduw / zon,Groen,,Taxaceae,Taxus,Taxus,3-5,Tuin thema's en Meer,Ja,Zwak zuur tot licht basisch,,,Alle,Mei,Ja,,,3-5,5.5-8,,,,,Gemiddeld,De plant hoeft niet echt gesnoeid te worden. Om de plant in model te houden kan men in het voorjaar en/of in de zomer de lange scheuten inkorten om de vorm van de plant te behouden.
751,YAR27111,200-400,Ja,,Droog-vochthoudend,"Zon, Halfschaduw, Schaduw",Groen,,Taxaceae,Taxus,Taxus,,Haagplanten,Tot -25 graden Celsius,Neutraal,,,,,Ja,,,3-5,6-8,Nee,,,,Gemiddeld,De plant hoeft niet echt gesnoeid te worden. Om de plant in model te houden kan men in het voorjaar en/of in de zomer de lange scheuten inkorten om de vorm van de plant te behouden.
752,YAR27156,150-200,Ja,,Droog-vochthoudend,"Zon, Halfschaduw, Schaduw",Groen,,Taxaceae,Taxus,Taxus,,Haagplanten,Tot -25 graden Celsius,Neutraal,,Alle,,,Ja,,,3-5,,,,,,Gemiddeld,De plant hoeft niet echt gesnoeid te worden. Om de plant in model te houden kan men in het voorjaar en/of in de zomer de lange scheuten inkorten om de vorm van de plant te behouden.
753,YAR2527,250,Ja,,Vochthoudend-vochtig,Lichte / halfschaduw,Geel,,Taxaceae,Taxus,Taxus,1-3,Tuin thema's en Meer,,Zwak zuur tot licht basisch,,,,,,,,1-3,,,,,,Gemiddeld,De plant hoeft niet echt gesnoeid te worden. Om de plant in model te houden kan men in het voorjaar en/of in de zomer de lange scheuten inkorten om de vorm van de plant te behouden.
754,YAR3239,60,Ja,,Vochthoudend-vochtig,Lichte / halfschaduw,Groen,,Taxaceae,Taxus,Taxus,1,Tuin thema's en Meer,,Zwak zuur tot licht basisch,,,,,,,,1,,,,,,Gemiddeld,De plant hoeft niet echt gesnoeid te worden. Om de plant in model te houden kan men in het voorjaar en/of in de zomer de lange scheuten inkorten om de vorm van de plant te behouden.
755,YAR2885,200,Ja,,Vochthoudend-vochtig,Lichte / halfschaduw,Geel,,Taxaceae,Taxus,Taxus,1-3,Tuin thema's en Meer,,Zwak zuur tot licht basisch,,,,,,,,1-3,,,,,,Gemiddeld,De plant hoeft niet echt gesnoeid te worden. Om de plant in model te houden kan men in het voorjaar en/of in de zomer de lange scheuten inkorten om de vorm van de plant te behouden.
756,YAR1976,2000,Ja,,Vochthoudend-vochtig,Halfschaduw / zon,Groen,,Taxaceae,Taxus,Taxus,,Tuin thema's en Meer,Ja,Neutraal tot basisch,,,,Mei,Ja,,,3-5,6-8,,,,,Gemiddeld,De plant hoeft niet echt gesnoeid te worden. Om de plant in model te houden kan men in het voorjaar en/of in de zomer de lange scheuten inkorten om de vorm van de plant te behouden.
757,YAR292,50,Nee,"Juni, Juli, Augustus",Droog-vochthoudend,Zon,Groen,Geel,Oenotheraceae,Teunisbloem,Oenothera,,Borderplanten,,,,,,,,,,,,,,,,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.
758,YAR1116,50,Nee,"Juni, Juli, Augustus",Droog-vochthoudend,Zon,Groen,Geel,Oenotheraceae,Teunisbloem,Oenothera,,Borderplanten,,,,,,,,,,,,,,,,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.
759,YAR2021,70,Nee,"Juni, Juli, Augustus",Droog-vochthoudend,Zon,Groen,Geel,Oenotheraceae,Teunisbloem,Oenothera,,Borderplanten,,,,,,,,,,,,,,,,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.
760,YAR945,50,Nee,"Juni, Juli, Augustus",Droog-vochthoudend,Zon,Groen,Geel,Oenotheraceae,Teunisbloem,Oenothera,,Borderplanten,,,,,,,,,,,,,,,,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.
761,YAR904,700,Nee,"April, Mei",Vochthoudend-vochtig,"Halfschaduw, Zon",Groen,Wit,Rosaceae,Tibetaanse sierkers,Prunus,,Bomen,,Zwak zuur tot licht basisch,,,,,,,,,,,,,,Geen,De plant heeft geen bijzondere zorg nodig.
762,YAR2770,5,Ja,"Juni, Juli",Droog-vochthoudend,Zon,"Groen, Wit",Paars,Lamiaceae,Tijm,Thymus,,Borderplanten,,,,,,,,,,,,,,,,Laag,De plant eventueel afdekken in de winter.
763,YAR1710,20,Ja,"Juni, Juli",Droog,Zon,"Groen, Grijs",Paars,Lamiaceae,Tijm,Thymus,,Borderplanten,,,,,,,,,,,,,,,,Laag,De plant eventueel afdekken in de winter.
764,YAR710,150,Nee,"Juni, Juli",Vochthoudend-vochtig,"Halfschaduw, Zon, Schaduw",Groen,Geel,Asteraceae,Tongkruiskruid,Ligularia,,Borderplanten,,,,,,,,,,,,,,,,Geen,De plant heeft geen bijzondere zorg nodig.
765,YAR825,100,Nee,"Augustus, Juli, Juni",Droog-vochthoudend,Zon,Groen,"Wit, Geel",Scrophulariaceae,Toorts,Verbascum,,Borderplanten,,,,,,,,,,,,,,,,Laag,"De plant is groenblijvend, snoei is niet nodig. Hooguit kan af en toe het oude, lelijk geworden blad weggeknipt worden."
766,YAR3000,150,Nee,"Augustus, Juli, Juni",Droog-vochthoudend,Zon,"Groen, Wit",Rood,Scrophulariaceae,Toorts,Verbascum,,Borderplanten,,,,,,,,,,,,,,,,Laag,"De plant is groenblijvend, snoei is niet nodig. Hooguit kan af en toe het oude, lelijk geworden blad weggeknipt worden."
767,YAR3542,60,Nee,"September, Augustus, Juli, Juni",Droog-vochthoudend,Zon,Grijs,Oranje,Scrophulariaceae,Toorts,Verbascum,,Borderplanten,,,,,,,,,,,,,,,,Laag,"De plant is groenblijvend, snoei is niet nodig. Hooguit kan af en toe het oude, lelijk geworden blad weggeknipt worden."
768,YAR3508,25,Nee,"Juli, Augustus",Droog-vochthoudend,Zon,Grijs,Geel,Scrophulariacea,Toorts,Verbascum,,Borderplanten,,Zwak zuur tot neutraal,,,,,,,,,,,,,,Laag,"De plant is groenblijvend, snoei is niet nodig. Hooguit kan af en toe het oude, lelijk geworden blad weggeknipt worden."
769,YAR1903,125,Nee,"Augustus, Juli, Juni",Droog-vochthoudend,Zon,"Groen, Grijs",Oranje,Scrophulariacea,Toorts,Verbascum,,Borderplanten,,,,,,,,,,,,,,,,Laag,"De plant is groenblijvend, snoei is niet nodig. Hooguit kan af en toe het oude, lelijk geworden blad weggeknipt worden."
770,YAR1577,100,Nee,"Juni, Juli, Augustus",Droog,Zon,Groen,Wit,Scrophulariacea,Toorts,Verbascum,,Borderplanten,,,,,,,,,,,,,,,,Laag,"De plant is groenblijvend, snoei is niet nodig. Hooguit kan af en toe het oude, lelijk geworden blad weggeknipt worden."
771,YAR2406,170,Nee,"Juli, Augustus",Droog-vochthoudend,Zon,Grijs,Geel,Scrophulariceae,Toorts,Verbascum,,Borderplanten,,,,,,,,,,,,,,,,Laag,"De plant is groenblijvend, snoei is niet nodig. Hooguit kan af en toe het oude, lelijk geworden blad weggeknipt worden."
772,YAR2147,300,Nee,"Februari, Maart",Vochthoudend-vochtig,Lichte schaduw / zon,Groen,Geel,Hamamelidaceae,Toverhazelaar,Hamamelis,,Tuin thema's en Meer,,Zuur tot neutraal,,,,,,,,,,,,,,Gemiddeld,De plant hoeft niet echt gesnoeid te worden. Om de plant in model te houden kan men in het voorjaar en/of in de zomer de lange scheuten inkorten om de vorm van de plant te behouden.
773,YAR1302,300,Nee,"Februari, Maart",Vochthoudend-vochtig,Lichte schaduw / zon,Groen,"Roze, Rood",Hamamelidaceae,Toverhazelaar,Hamamelis,,Tuin thema's en Meer,,Zuur tot neutraal,,,,,,,,,,,,,,Gemiddeld,De plant hoeft niet echt gesnoeid te worden. Om de plant in model te houden kan men in het voorjaar en/of in de zomer de lange scheuten inkorten om de vorm van de plant te behouden.
774,YAR3061,350,Nee,"December, Februari, Januari",Vochthoudend-vochtig,"Halfschaduw, Zon",Groen,Geel,Hamamelidaceae,Toverhazelaar,Hamamelis,,Tuin thema's en Meer,,Zuur tot neutraal,,,,,,,,,,,,,,Gemiddeld,De plant hoeft niet echt gesnoeid te worden. Om de plant in model te houden kan men in het voorjaar en/of in de zomer de lange scheuten inkorten om de vorm van de plant te behouden.
775,YAR2108,300,Nee,,Vochthoudend-vochtig,Lichte schaduw / zon,Groen,Rood,Hamamelidaceae,Toverhazelaar,Hamamelis,,Tuin thema's en Meer,,Zuur tot neutraal,,,,,,,,,,,,,,Gemiddeld,De plant hoeft niet echt gesnoeid te worden. Om de plant in model te houden kan men in het voorjaar en/of in de zomer de lange scheuten inkorten om de vorm van de plant te behouden.
776,YAR408,20,Ja,"Juni, Juli",Droog-vochthoudend,Zon,Grijs,Geel,Crassulaceae,Tripmadam,Sedum,8-11,Borderplanten,,,,,,,,,,,,,,,,,
777,YAR2668,70,Nee,"September, Augustus, Juli, Juni",Droog-vochthoudend,Lichte schaduw / zon,"Groen, Rood","Rood, Oranje",Rosaceae,Trosroos,Rosa,3-5,Heesters en Struiken,,Zwak zuur tot licht basisch,,,,,,,,,,,,,,Hoog,"Het eerste jaar na planten alle dunne takjes verwijderen en 2,3 of 4 takken die de struik heeft terugknippen zodat u 4-5 ""ogen"" overhoudt. Als bovenste oog kiest u een oog dat naar buiten is gericht. Volgende jaren: Allereerst worden alle beschadigde en kruisende takken weggeknipt. Hierna worden de oudste takken teruggeknipt tot vlak boven de grond. Dit bevordert de groei van nieuwe, stevige takken. U houdt nu 3-5 jonge takken aan die regelmatig verdeelt staan. Deze takken worden afgeknipt op 4-5 ogen, waarbij het bovenste aan de buitenzijde van de struik zit.Als de struiken alleen staan (dus niet in een perk) mogen de gesnoeide takken iets langer blijven (25-40 cm). Tijdens de zomer worden de oude bloemen regelmatig verwijdert om de herbloei te bevorderen."
778,YAR173,80,Nee,"September, Augustus, Juli, Juni",Droog-vochthoudend,Lichte schaduw / zon,Groen,Roze,Rosaceae,Trosroos,Rosa,4-5,Heesters en Struiken,,Zwak zuur tot licht basisch,,,,,,,,,,,,,,Hoog,"Het eerste jaar na planten alle dunne takjes verwijderen en 2,3 of 4 takken die de struik heeft terugknippen zodat u 4-5 ""ogen"" overhoudt. Als bovenste oog kiest u een oog dat naar buiten is gericht. Volgende jaren: Allereerst worden alle beschadigde en kruisende takken weggeknipt. Hierna worden de oudste takken teruggeknipt tot vlak boven de grond. Dit bevordert de groei van nieuwe, stevige takken. U houdt nu 3-5 jonge takken aan die regelmatig verdeelt staan. Deze takken worden afgeknipt op 4-5 ogen, waarbij het bovenste aan de buitenzijde van de struik zit.Als de struiken alleen staan (dus niet in een perk) mogen de gesnoeide takken iets langer blijven (25-40 cm). Tijdens de zomer worden de oude bloemen regelmatig verwijdert om de herbloei te bevorderen."
779,YAR3390,75,Nee,"September, Augustus, Juli, Juni",Droog-vochthoudend,Lichte schaduw / zon,Groen,Oranje,Rosaceae,Trosroos,Rosa,3-5,Heesters en Struiken,,Zwak zuur tot licht basisch,,,,,,,,,,,,,,Hoog,"Het eerste jaar na planten alle dunne takjes verwijderen en 2,3 of 4 takken die de struik heeft terugknippen zodat u 4-5 ""ogen"" overhoudt. Als bovenste oog kiest u een oog dat naar buiten is gericht. Volgende jaren: Allereerst worden alle beschadigde en kruisende takken weggeknipt. Hierna worden de oudste takken teruggeknipt tot vlak boven de grond. Dit bevordert de groei van nieuwe, stevige takken. U houdt nu 3-5 jonge takken aan die regelmatig verdeelt staan. Deze takken worden afgeknipt op 4-5 ogen, waarbij het bovenste aan de buitenzijde van de struik zit.Als de struiken alleen staan (dus niet in een perk) mogen de gesnoeide takken iets langer blijven (25-40 cm). Tijdens de zomer worden de oude bloemen regelmatig verwijdert om de herbloei te bevorderen."
780,YAR1215,80,Nee,"September, Augustus, Juli, Juni",Droog-vochthoudend,Lichte schaduw / zon,Groen,Roze,Rosaceae,Trosroos,Rosa,3-5,Heesters en Struiken,,Zwak zuur tot licht basisch,,,,,,,,,,,,,,Hoog,"Het eerste jaar na planten alle dunne takjes verwijderen en 2,3 of 4 takken die de struik heeft terugknippen zodat u 4-5 ""ogen"" overhoudt. Als bovenste oog kiest u een oog dat naar buiten is gericht. Volgende jaren: Allereerst worden alle beschadigde en kruisende takken weggeknipt. Hierna worden de oudste takken teruggeknipt tot vlak boven de grond. Dit bevordert de groei van nieuwe, stevige takken. U houdt nu 3-5 jonge takken aan die regelmatig verdeelt staan. Deze takken worden afgeknipt op 4-5 ogen, waarbij het bovenste aan de buitenzijde van de struik zit.Als de struiken alleen staan (dus niet in een perk) mogen de gesnoeide takken iets langer blijven (25-40 cm). Tijdens de zomer worden de oude bloemen regelmatig verwijdert om de herbloei te bevorderen."
781,YAR2521,90,Nee,"September, Augustus, Juli, Juni",Droog-vochthoudend,Lichte schaduw / zon,Groen,Roze,Rosaceae,Trosroos,Rosa,3-5,Heesters en Struiken,Tot -20 graden Celsius,Zwak zuur tot licht basisch,Ja,,,"Maart, Januari, Februari, April",,,,,6-8,Ja,,,,Hoog,"Het eerste jaar na planten alle dunne takjes verwijderen en 2,3 of 4 takken die de struik heeft terugknippen zodat u 4-5 ""ogen"" overhoudt. Als bovenste oog kiest u een oog dat naar buiten is gericht. Volgende jaren: Allereerst worden alle beschadigde en kruisende takken weggeknipt. Hierna worden de oudste takken teruggeknipt tot vlak boven de grond. Dit bevordert de groei van nieuwe, stevige takken. U houdt nu 3-5 jonge takken aan die regelmatig verdeelt staan. Deze takken worden afgeknipt op 4-5 ogen, waarbij het bovenste aan de buitenzijde van de struik zit.Als de struiken alleen staan (dus niet in een perk) mogen de gesnoeide takken iets langer blijven (25-40 cm). Tijdens de zomer worden de oude bloemen regelmatig verwijdert om de herbloei te bevorderen."
782,YAR3088,150,Nee,"September, Augustus, Juli, Juni",Droog-vochthoudend,Lichte schaduw / zon,Groen,Roze,Rosaceae,Trosroos,Rosa,3-5,Heesters en Struiken,,Zwak zuur tot licht basisch,,,,,,,,,,,,,,Hoog,"Het eerste jaar na planten alle dunne takjes verwijderen en 2,3 of 4 takken die de struik heeft terugknippen zodat u 4-5 ""ogen"" overhoudt. Als bovenste oog kiest u een oog dat naar buiten is gericht. Volgende jaren: Allereerst worden alle beschadigde en kruisende takken weggeknipt. Hierna worden de oudste takken teruggeknipt tot vlak boven de grond. Dit bevordert de groei van nieuwe, stevige takken. U houdt nu 3-5 jonge takken aan die regelmatig verdeelt staan. Deze takken worden afgeknipt op 4-5 ogen, waarbij het bovenste aan de buitenzijde van de struik zit.Als de struiken alleen staan (dus niet in een perk) mogen de gesnoeide takken iets langer blijven (25-40 cm). Tijdens de zomer worden de oude bloemen regelmatig verwijdert om de herbloei te bevorderen."
783,YAR780,70,Nee,"September, Augustus, Juli, Juni",Droog-vochthoudend,Lichte schaduw / zon,Groen,Wit,Rosaceae,Trosroos,Rosa,3-5,Heesters en Struiken,,Zwak zuur tot licht basisch,,,,,,,,,,,,,,Hoog,"Het eerste jaar na planten alle dunne takjes verwijderen en 2,3 of 4 takken die de struik heeft terugknippen zodat u 4-5 ""ogen"" overhoudt. Als bovenste oog kiest u een oog dat naar buiten is gericht. Volgende jaren: Allereerst worden alle beschadigde en kruisende takken weggeknipt. Hierna worden de oudste takken teruggeknipt tot vlak boven de grond. Dit bevordert de groei van nieuwe, stevige takken. U houdt nu 3-5 jonge takken aan die regelmatig verdeelt staan. Deze takken worden afgeknipt op 4-5 ogen, waarbij het bovenste aan de buitenzijde van de struik zit.Als de struiken alleen staan (dus niet in een perk) mogen de gesnoeide takken iets langer blijven (25-40 cm). Tijdens de zomer worden de oude bloemen regelmatig verwijdert om de herbloei te bevorderen."
784,YAR1479,300,Nee,"April, Mei",Vochthoudend-vochtig,Lichte / halfschaduw,Groen,"Geel, Groen",Caprifoliaceae,Trosvlier,Sambucus,,Tuin thema's en Meer,,Zuur tot neutraal,,,,,,,,,,,,,,Geen,De plant heeft geen bijzondere zorg nodig.
785,YAR3005,250,Nee,"April, Mei",Vochthoudend-vochtig,Lichte / halfschaduw,Geel,"Geel, Groen",Caprifoliaceae,Trosvlier,Sambucus,,Tuin thema's en Meer,,Zuur tot neutraal,,,,,,,,,,,,,,Geen,De plant heeft geen bijzondere zorg nodig.
786,YAR2253,250,Nee,"Mei, April",Vochthoudend-vochtig,Lichte / halfschaduw,"Groen, Geel","Geel, Groen",Caprifoliaceae,Trosvlier,Sambucus,,Tuin thema's en Meer,,Zuur tot neutraal,,,,,,,,,,,,,,Geen,De plant heeft geen bijzondere zorg nodig.
787,YAR3039,90,Ja,"Mei, Juni",Vochthoudend,Schaduw,Groen,Wit,Brassicaceae,Tuinjudaspenning,Lunaria,7-9,Borderplanten,,,,,,,,,,,,,,,,,
788,YAR2925,15,Nee,"Mei, Juni, Juli",Droog-vochthoudend,Zon,Groen,Wit,Campanulaceae,Tuinlobelia,Lobelia,30-35,Borderplanten,,,,,,,,,,,,,,,,,
789,YAR2142,40,Nee,"Mei, Juni",Vochthoudend,"Halfschaduw, Zon",Groen,Paars,Primulaceae,Twaalfgodenkruid,Dodecatheon,,Borderplanten,,,,,,,,,,,,,,,,Geen,De plant heeft geen bijzondere zorg nodig.
790,YAR3721,125,Nee,"Juli, Augustus",Droog,Halfschaduw / zon,"Groen, Grijs",Blauw,Fabaceae,Indigolupine,Baptisia,5-7,Borderplanten,,Neutraal tot basisch,,,,,,,,,,,,,,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.
791,YAR2389,30,Ja,,Vochthoudend-vochtig,Halfschaduw,Groen,,Cupressaceae,Microbiota,Microbiota,,Tuin thema's en Meer,,Zwak zuur tot basisch,,,,,,,,,,,,,,Gemiddeld,De plant hoeft niet echt gesnoeid te worden. Om de plant in model te houden kan men in het voorjaar en/of in de zomer de lange scheuten inkorten om de vorm van de plant te behouden.
792,YAR3646,70,Nee,"Augustus, Juli, Juni",Droog-vochthoudend,Zon,Groen,"Paars, Blauw",Lamiaceae,Veldsalie,Salvia,,Borderplanten,,,,,,,,,,,,,,,,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.
793,YAR2055,100,Nee,"Juni, Juli, Augustus",Droog-vochthoudend,Zon,Groen,Blauw,Lamiaceae,Veldsalie,Salvia,7-9,Borderplanten,,,,,,,,,,,,,,,,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.
794,YAR2659,250,Ja,,Vochthoudend-vochtig,Lichte / halfschaduw,Geel,,Taxaceae,Venijnboom,Taxus,1-3,Tuin thema's en Meer,,Zwak zuur tot licht basisch,,,,,,,,1-3,,,,,,Gemiddeld,De plant hoeft niet echt gesnoeid te worden. Om de plant in model te houden kan men in het voorjaar en/of in de zomer de lange scheuten inkorten om de vorm van de plant te behouden.
795,YAR3464,30,Nee,"Augustus, Juli, Juni, Mei",Droog-vochthoudend,Zon,Groen,Wit,Verbenaceae,Verbena,Verbena,7-9,Borderplanten,,,,,,,,,,,,,,,,Geen,Snoei is niet nodig bij deze plant.
796,YAR2796,30,Nee,"Augustus, Juli, Juni, Mei",Droog-vochthoudend,Zon,Groen,Paars,Verbenaceae,Verbena,Verbena,7-9,Borderplanten,,,,,,,,,,,,,,,,Geen,Snoei is niet nodig bij deze plant.
797,YAR1974,150,Nee,"Oktober, September, Augustus, Juli",Droog-vochthoudend,Zon,Groen,Paars,Verbenaceae,Verbena,Verbena,5-7,Borderplanten,,,,,,,,,,,,,,,,Geen,Snoei is niet nodig bij deze plant.
798,YAR2504,25,Nee,"September, Augustus",Droog-vochthoudend,Zon,"Bruin, Rood","Paars, Rood",Crassulaceae,Vetkruid,Sedum,8-11,Borderplanten,,,,,,,,,,,,,,,,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.
